,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
309,"['🥺', '🥰']",3,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667
310,"['😭', '🥰']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,"['❤', '💔', '🔥']",1,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
312,"['➡', '⚡', '💥']",2,2.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0
313,"['😂', '😭', '👀']",1,0.0,3.0,0.0,1.0,3.0,3.0,1.0,5.0
314,"['🔥', '⚠']",2,1.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0
315,"['🙏', '🤣']",4,0.5,0.5,0.25,1.0,0.5,0.75,0.5,1.25
316,"['🤔', '👀']",4,0.75,0.75,2.25,1.5,0.75,1.5,0.75,1.0
317,"['😂', '❤', '🤔']",2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
318,"['💔', '😭', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,"['😂', '🙏']",22,0.45454545454545453,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.7272727272727273,0.6818181818181818,0.18181818181818182,1.0909090909090908
320,"['😂', '🎉']",19,0.631578947368421,0.7894736842105263,0.7368421052631579,0.8421052631578947,0.5263157894736842,0.5789473684210527,0.3157894736842105,0.631578947368421
321,"['😂', '😭']",396,0.33080808080808083,0.6262626262626263,0.3939393939393939,0.7272727272727273,0.44696969696969696,0.8131313131313131,0.29545454545454547,0.6035353535353535
322,"['❤', '🙏', '💔']",1,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0
323,"['📍', '⚡']",1,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
324,"['🤔', '🔴']",1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
325,"['😂', '📍']",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,"['😭', '💔', '🤣']",1,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
327,"['🙏', '✨', '✅']",1,0.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0
328,"['‼', '👇']",3,1.3333333333333333,0.0,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,0.0,0.0
329,"['😂', '😭', '😎']",1,2.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0
330,"['😂', '😭', '❤']",5,0.0,0.6,0.0,0.8,0.6,0.6,0.4,0.6
331,"['❤', '✨', '🥺']",3,0.0,2.3333333333333335,0.0,0.6666666666666666,2.6666666666666665,0.0,0.0,3.3333333333333335
332,"['❌', '🚨']",33,0.30303030303030304,0.2727272727272727,0.24242424242424243,0.3939393939393939,0.09090909090909091,0.36363636363636365,0.2727272727272727,1.2424242424242424
333,"['❤', '🔥', '😭']",1,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
