,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
662,"['🙄', '💥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,"['✨', '🥺', '🤣']",1,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0
664,['😩'],808,0.6881188118811881,0.5160891089108911,0.46905940594059403,0.8985148514851485,0.4628712871287129,0.8626237623762376,0.3626237623762376,0.5891089108910891
665,"['😂', '❌']",2,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
666,"['❤', '🥺']",256,0.5390625,0.9375,0.3046875,0.5546875,0.82421875,0.484375,0.71875,0.92578125
667,"['🚨', '👉']",18,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3888888888888889
668,"['😭', '🙏', '🥺']",116,0.008620689655172414,0.034482758620689655,0.9827586206896551,1.0172413793103448,0.02586206896551724,1.0172413793103448,0.0,0.09482758620689655
669,"['👇', '💥']",156,0.019230769230769232,0.01282051282051282,0.00641025641025641,0.019230769230769232,0.019230769230769232,0.01282051282051282,0.8076923076923077,0.038461538461538464
670,"['😩', '⚡']",1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
671,"['❤', '💥']",20,0.7,0.15,0.65,0.7,0.15,0.2,0.65,0.3
672,"['👉', '⚠']",4,1.0,1.0,0.5,1.25,1.0,0.75,0.5,1.75
673,"['‼', '📌']",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,"['😂', '✨', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,"['❤', '🔥', '💥']",1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
676,"['😭', '⚠']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,"['😩', '✨']",21,0.09523809523809523,0.09523809523809523,0.8571428571428571,1.8095238095238095,0.19047619047619047,1.8095238095238095,0.09523809523809523,0.19047619047619047
678,"['✅', '🥺']",4,0.5,0.0,1.0,0.5,0.5,0.25,0.25,0.0
679,"['👉', '✅', '📍']",1,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
680,"['😭', '🤡']",10,0.0,0.2,0.2,0.3,0.3,0.2,0.2,0.4
681,"['🔥', '✨', '💥']",1,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
682,"['⭐', '👇']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
683,"['😩', '😭', '😂']",2,2.0,1.0,0.0,1.5,1.0,1.5,1.0,0.5
684,['🔥'],3205,0.5697347893915756,0.41934477379095164,0.3042121684867395,0.7953198127925117,0.32854914196567864,0.5581903276131045,0.25834633385335415,0.5429017160686428
685,"['🙏', '🥰']",13,0.46153846153846156,1.6153846153846154,0.07692307692307693,1.0,1.3076923076923077,0.8461538461538461,0.7692307692307693,1.5384615384615385
686,"['❤', '💔']",25,1.76,0.88,1.24,2.12,1.12,1.68,0.52,1.52
687,"['🙏', '✨', '😎']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,"['👉', '📌']",16,0.625,1.75,0.5,0.6875,2.5,2.0625,1.875,0.875
689,"['❤', '🤣']",10,1.1,0.8,1.1,1.2,0.8,1.3,0.2,0.6
690,"['😂', '😭', '😩', '🤣']",1,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
691,"['😂', '❤', '⚽']",1,3.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0
692,"['🔴', '💥']",7,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.0,0.8571428571428571
693,"['🎉', '🔥']",3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0
