,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
420,"['💥', '👀']",7,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
421,"['❌', '⚽', '✅']",6,0.0,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334
422,"['➡', '🤡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,"['🙏', '💔']",33,0.7575757575757576,0.0,0.0,0.8181818181818182,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.7878787878787878
424,"['😂', '🎉', '🤣']",1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
425,"['‼', '👇', '❗']",1,3.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0
426,"['🇫🇷', '➡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
427,"['👉', '👇', '🔴']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
428,"['👇', '⚠']",90,0.14444444444444443,0.45555555555555555,0.06666666666666667,0.32222222222222224,0.12222222222222222,0.18888888888888888,0.2222222222222222,0.4666666666666667
429,"['😂', '‼', '😎', '💥']",1,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
430,"['❤', '🙏', '🤔']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,"['🇧🇷', '👉', '🔴', '📌']",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
432,"['❤', '❌']",3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333
433,"['‼', '👉', '✅']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,"['🎉', '⚡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,"['👇', '👉', '📍']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,"['🔥', '✅', '💥']",8,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.0
437,"['🤔', '💥']",7,0.42857142857142855,0.8571428571428571,0.0,1.1428571428571428,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.7142857142857142
438,"['🇫🇷', '💥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,"['‼', '👇', '⚠']",1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
440,"['🙏', '🔥', '➡', '⚠']",1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
441,"['✅', '📌']",29,0.3103448275862069,0.9655172413793104,0.27586206896551724,0.7241379310344828,0.896551724137931,0.5517241379310345,0.5172413793103449,1.2413793103448276
442,"['😎', '👉']",5,0.0,0.6,0.0,0.2,0.2,0.0,0.4,1.2
443,"['➡', '👉', '🔴']",2,0.0,1.5,0.5,0.5,1.0,0.0,0.5,2.5
444,"['🤣', '📍']",1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
445,"['🇧🇷', '⭐']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,"['🙏', '✨', '🥺']",1,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
447,"['😎', '➡', '👇']",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
448,"['🎉', '🚨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,"['😎', '➡']",7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,"['😎', '⚡']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,"['❤', '👇', '👉']",2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
452,"['🤔', '🥰', '🤣']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,"['🚨', '🔴', '📌']",1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
454,"['➡', '🔥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,"['😎', '✨']",9,0.0,0.2222222222222222,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.4444444444444444
456,"['🙄', '🔴']",2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0
457,"['⭐', '👉']",1,0.0,5.0,1.0,2.0,5.0,0.0,3.0,4.0
458,"['💥', '❗']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,"['‼', '🔥', '💥', '⚠']",294,0.0,0.03741496598639456,0.0,0.0,0.0,0.0,0.0,0.0
460,"['❤', '🎉', '⚽']",1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
461,"['❌', '⚠']",1,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0
462,"['😎', '🔥', '👉']",1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
463,"['🔥', '💥']",1776,0.00731981981981982,0.017454954954954954,0.006193693693693694,0.006756756756756757,0.01632882882882883,0.006193693693693694,0.0045045045045045045,0.016891891891891893
464,"['⭐', '❤']",24,0.041666666666666664,0.125,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.5416666666666666
465,"['🙏', '🔥', '😎']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,"['⚽', '❌', '✅', '🇧🇷', '🔴', '📌']",1,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0
467,"['‼', '🤔']",5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
468,"['😂', '😭', '🔥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,"['‼', '📌', '⚡']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,"['👉', '✨', '❗']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,"['❤', '🙏']",223,0.09865470852017937,0.2825112107623318,0.08071748878923767,0.12556053811659193,0.3094170403587444,0.13901345291479822,0.14349775784753363,0.3901345291479821
472,"['🔥', '👇', '👉']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,"['👇', '👉', '👀']",7,0.2857142857142857,1.2857142857142858,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.2857142857142857,1.0,1.5714285714285714
474,"['💔', '🙏', '👇']",1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
475,"['💔', '🤣']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
476,['🙄'],376,0.18351063829787234,0.1675531914893617,0.15691489361702127,0.18085106382978725,0.1702127659574468,0.18882978723404256,0.07712765957446809,0.32180851063829785
477,"['‼', '🚨', '⚠']",9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111
478,"['➡', '👉', '✅']",2,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0
479,"['⚽', '🥰', '🤣']",1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
480,"['👉', '🚨', '🔴', '⚠', '📍']",2,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0
481,"['🔴', '🤣']",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
