,emoji,lit_emoji,emotion,count,english_portion,spanish_portion,arabic_portion,non_english_avg,abs_english_bias,rel_english_bias,non_spanish_avg,abs_spanish_bias,rel_spanish_bias,non_arabic_avg,abs_arabic_bias,rel_arabic_bias
29,:smiling_face_with_sunglasses:,😎,Joy,20625,0.0052059880094422,0.0032118092252526,0.0029591092839326,0.0030854592545926,0.0021205287548496004,1.6872651945389543,0.0040825486466874,-0.0008707394214348,0.7867167064521516,0.0042088986173474,-0.0012497893334148,0.7030602428237004
30,:exclamation_mark:,:exclamation_mark:,,20223,0.0051045185704218,0.0035521764533084,0.0020033977578807,0.00277778710559455,0.00232673146482725,1.8376205145963636,0.00355395816415125,-1.7817108428500386e-06,0.9994986685941264,0.0043283475118651,-0.0023249497539844003,0.46285510865032853
31,:backhand_index_pointing_right:,👉,,19528,0.0049290925502248,0.019065984631444,0.0003687831952779,0.009717383913360949,-0.004788291363136149,0.5072448093202871,0.00264893787275135,0.016417046758692648,7.197595997840785,0.011997538590834399,-0.011628755395556498,0.0307382378881977
32,:clown_face:,🤡,,19324,0.004877600596095,0.001159850108343,0.0004772661815787,0.00081855814496085,0.00405904245113415,5.958771073407725,0.0026774333888368498,-0.0015175832804938498,0.43319475777766053,0.003018725352219,-0.0025414591706403,0.15810188933811814
33,:face_with_rolling_eyes:,🙄,Disgust,18848,0.0047574527031256,0.0011045675330855,0.0018185639741562,0.00146156575362085,0.00329588694950475,3.2550384348699977,0.0032880083386409,-0.0021834408055553998,0.33593817877666143,0.00293101011810555,-0.00111244614394935,0.6204563958761165
34,:white_medium_star:,:white_medium_star:,,18166,0.0045853080329467,0.0028248311984503,0.001068911163931,0.00194687118119065,0.00263843685175605,2.3552190187244224,0.00282710959843885,-2.278399988550183e-06,0.9991940885525598,0.0037050696156985,-0.0026361584517675,0.28849961668789936
35,:wrapped_gift:,🎁,,18146,0.0045802598021497,0.0015327364983149,0.0027359527061346,0.00213434460222475,0.0024459151999249498,2.145979518666026,0.0036581062541421495,-0.0021253697558272495,0.41899726028443013,0.0030564981502323,-0.0003205454440977002,0.8951265702309232
36,:nazar_amulet:,🧿,,17932,0.0045262437326214,5.203065906585455e-05,0.0002806407689085,0.00016633571398717728,0.004359908018634223,27.211496702207473,0.00240344225076495,-0.0023514115916990954,0.021648391613859088,0.0022891371958436275,-0.0020084964269351272,0.12259674492994904
37,:zany_face:,🤪,,17885,0.0045143803902484,0.0011023995889577,0.0009931499479546,0.00104777476845615,0.00346660562179225,4.308540848812517,0.0027537651691014998,-0.0016513655801437997,0.4003244725901562,0.00280838998960305,-0.0018152400416484497,0.35363676399337124
38,:blue_heart:,💙,Joy,17750,0.0044803048323684,0.0121968536626874,0.0131803880448211,0.012688620853754249,-0.008208316021385848,0.35309628083360917,0.00883034643859475,0.00336650722409265,1.381242938485253,0.0083385792475279,0.0048418087972932,1.5806515299028463
39,:face_screaming_in_fear:,😱,Surprise,17626,0.0044490058014268,0.0018004775980913,0.0006556145693829,0.0012280460837371,0.0032209597176897,3.6228329379040165,0.00255231018540485,-0.0007518325873135498,0.70543055792637,0.0031247416997590496,-0.0024691271303761498,0.20981400460507016
40,:grinning_squinting_face:,😆,Joy,16662,0.0042056810770097,0.0004791156522314,0.0007735308588403,0.00062632325553585,0.00357935782147385,6.714872934761995,0.002489605967925,-0.0020104903156936,0.1924463784245851,0.0023423983646205498,-0.0015688675057802498,0.330230276166371
41,:clapping_hands:,👏,,16466,0.0041562084151988,0.0079953779431196,0.002417283933876,0.0052063309384978,-0.0010501225232990002,0.7982989295716965,0.0032867461745374,0.004708631768582199,2.4326119263666373,0.006075793179159199,-0.003658509245283199,0.39785487468000297
42,:purple_heart:,💜,,16400,0.0041395492535685,0.004063811267456,0.0064924708975227,0.00527814108248935,-0.00113859182892085,0.784281660697131,0.0053160100755456,-0.0012521988080896,0.7644476232560409,0.00410168026051225,0.00239079063701045,1.582880791569031
43,:heart_suit:,♥,,16196,0.0040880572994388,0.0028790298016439,0.0457839472890602,0.02433148854535205,-0.02024343124591325,0.16801509253406224,0.0249360022942495,-0.0220569724926056,0.11545675075221798,0.00348354355054135,0.04230040373851885,13.142923757030475
44,:glowing_star:,🌟,,16144,0.0040749318993665,0.0029245566283265,0.0012838136014671,0.0021041851148968,0.0019707467844697,1.9365843197528538,0.0026793727504168,0.00024518387790969974,1.0915079388903837,0.0034997442638465,-0.0022159306623794,0.36683068952474995
45,:pouting_face:,😡,Anger,15514,0.0039159126292599,0.0018167371790494,0.0015735928828086,0.001695165030929,0.0022207475983309,2.3100480235330627,0.00274475275603425,-0.00092801557698485,0.6618946551944842,0.00286632490415465,-0.00129273202134605,0.5489932005013547
46,:face_with_symbols_on_mouth:,🤬,Anger,15507,0.0039141457484809,0.0011273309464268,0.0003062875618655,0.00071680925414615,0.0031973364943347496,5.460512299249482,0.0021102166551732,-0.0009828857087463999,0.5342252150570161,0.0025207383474538498,-0.0022144507855883498,0.1215070823097825
47,:grinning_face_with_sweat:,😅,"Anticipation, Surprise",15457,0.0039015251714884,0.0012812549794966,0.0049465883427366,0.0031139216611166002,0.0007876035103717999,1.2529297766885306,0.0044240567571125,-0.0031428017776159002,0.2896108820115706,0.0025913900754925,0.0023551982672441003,1.9088551698634135
48,:flushed_face:,😳,Surprise,14751,0.003723322624353,0.0017072560005983,0.0011290484715543,0.0014181522360763,0.0023051703882767003,2.6254745644618342,0.0024261855479536503,-0.0007189295473553504,0.7036790743553284,0.00271528931247565,-0.00158624084092135,0.41581148143837987
49,:skull:,💀,Fear,14713,0.0037137309858387,0.0007034978694529,0.0002511616965441,0.0004773297829985,0.0032364012028402,7.780220547961011,0.0019824463411914,-0.0012789484717385,0.35486351122629406,0.0022086144276458,-0.0019574527311017,0.11371912335636489
50,:speaking_head:,🗣,,14531,0.0036677920855856,0.0072160020291957,0.000586928330774,0.0039014651799848497,-0.00023367309439924992,0.9401063232351705,0.0021273602081798,0.0050886418210159,3.391998215182287,0.00544189705739065,-0.00485496872661665,0.10785362614989044
51,:two_hearts:,💕,Joy,14478,0.0036544142739735,0.0019121267206701,0.0058315500951142,0.00387183840789215,-0.00021742413391864996,0.9438447292956585,0.0047429821845438504,-0.0028308554638737504,0.4031486196387635,0.0027832704973218,0.0030482795977924,2.0952150000244694
52,:grimacing_face:,😬,Anticipation,14383,0.0036304351776876,0.0004780316801675,0.0004840463682225,0.000481039024195,0.0031493961534925998,7.547069977873399,0.00205724077295505,-0.00157920909278755,0.23236545107009934,0.00205423342892755,-0.0015701870607050502,0.23563357572036261
